"N","size ratio","time ratio","type"
1000,1000.00000,101.65000,"Insert"
1000,1.00000,0.75000,"Append"
1000,1.00000,2.10000,"Insert"
1000,10.00000,15.67000,"Append"
1000,10.00000,12.57000,"Insert"
1000,100.00000,162.72000,"Append"
1000,100.00000,65.39000,"Insert"
1000,1000.00000,826.93000,"Append"
1000,1000.00000,108.88000,"Insert"
1000,1.00000,1.16000,"Append"
1000,1.00000,1.59000,"Insert"
1000,10.00000,14.88000,"Append"
1000,10.00000,12.85000,"Insert"
1000,100.00000,167.41000,"Append"
1000,100.00000,53.51000,"Insert"
1000,1000.00000,672.45000,"Append"
1000,1000.00000,108.84000,"Insert"
1000,1.00000,1.02000,"Append"
1000,1.00000,2.17000,"Insert"
1000,10.00000,14.86000,"Append"
1000,10.00000,13.08000,"Insert"
1000,100.00000,147.33000,"Append"
1000,100.00000,54.02000,"Insert"
1000,1000.00000,820.50000,"Append"
1000,1000.00000,100.10000,"Insert"
1000,1.00000,1.01000,"Append"
1000,1.00000,2.04000,"Insert"
1000,10.00000,15.49000,"Append"
1000,10.00000,12.82000,"Insert"
1000,100.00000,163.56000,"Append"
1000,100.00000,68.00000,"Insert"
1000,1000.00000,871.62000,"Append"
1000,1000.00000,101.09000,"Insert"
1000,1.00000,1.34000,"Append"
1000,1.00000,2.03000,"Insert"
1000,10.00000,14.49000,"Append"
1000,10.00000,13.87000,"Insert"
1000,100.00000,208.61000,"Append"
1000,100.00000,74.82000,"Insert"
1000,1000.00000,824.12000,"Append"
1000,1000.00000,116.90000,"Insert"
1000,1.00000,1.31000,"Append"
1000,1.00000,2.10000,"Insert"
1000,10.00000,14.23000,"Append"
1000,10.00000,11.23000,"Insert"
1000,100.00000,173.91000,"Append"
1000,100.00000,54.80000,"Insert"
1000,1000.00000,817.78000,"Append"
1000,1000.00000,120.72000,"Insert"
