"computation time (s)","series size n","series_type","visibility","Method"
0.02283,500.00000,"walk","hvg","bt"
0.73491,500.00000,"walk","nvg","basic"
0.10894,500.00000,"walk","nvg","dc"
0.26150,500.00000,"walk","nvg","bt"
0.29777,500.00000,"walk","hvg","basic"
0.07065,500.00000,"walk","hvg","dc"
0.02720,500.00000,"walk","hvg","bt"
0.72112,500.00000,"walk","nvg","basic"
0.31807,500.00000,"walk","nvg","dc"
0.50727,500.00000,"walk","nvg","bt"
0.23438,500.00000,"walk","hvg","basic"
0.07200,500.00000,"walk","hvg","dc"
0.02669,500.00000,"walk","hvg","bt"
0.52066,500.00000,"walk","nvg","basic"
0.16899,500.00000,"walk","nvg","dc"
0.36485,500.00000,"walk","nvg","bt"
0.22773,500.00000,"walk","hvg","basic"
0.06630,500.00000,"walk","hvg","dc"
0.02507,500.00000,"walk","hvg","bt"
0.84577,500.00000,"walk","nvg","basic"
0.13506,500.00000,"walk","nvg","dc"
0.28487,500.00000,"walk","nvg","bt"
0.29060,500.00000,"walk","hvg","basic"
0.06581,500.00000,"walk","hvg","dc"
0.02391,500.00000,"walk","hvg","bt"
0.61738,500.00000,"walk","nvg","basic"
0.06069,500.00000,"walk","nvg","dc"
0.15525,500.00000,"walk","nvg","bt"
0.29033,500.00000,"walk","hvg","basic"
0.03839,500.00000,"walk","hvg","dc"
0.01703,500.00000,"walk","hvg","bt"
0.71026,500.00000,"walk","nvg","basic"
0.27405,500.00000,"walk","nvg","dc"
0.43585,500.00000,"walk","nvg","bt"
0.25571,500.00000,"walk","hvg","basic"
0.06342,500.00000,"walk","hvg","dc"
0.02669,500.00000,"walk","hvg","bt"
0.56911,500.00000,"walk","nvg","basic"
0.21015,500.00000,"walk","nvg","dc"
0.39344,500.00000,"walk","nvg","bt"
0.23456,500.00000,"walk","hvg","basic"
0.07212,500.00000,"walk","hvg","dc"
0.02641,500.00000,"walk","hvg","bt"
0.59250,500.00000,"walk","nvg","basic"
0.09312,500.00000,"walk","nvg","dc"
0.22179,500.00000,"walk","nvg","bt"
0.26975,500.00000,"walk","hvg","basic"
0.04779,500.00000,"walk","hvg","dc"
0.01868,500.00000,"walk","hvg","bt"
0.39875,500.00000,"random","nvg","basic"
0.02458,500.00000,"random","nvg","dc"
0.06976,500.00000,"random","nvg","bt"
0.23087,500.00000,"random","hvg","basic"
0.01983,500.00000,"random","hvg","dc"
0.01313,500.00000,"random","hvg","bt"
0.38116,500.00000,"random","nvg","basic"
0.02339,500.00000,"random","nvg","dc"
0.06960,500.00000,"random","nvg","bt"
0.22911,500.00000,"random","hvg","basic"
0.02021,500.00000,"random","hvg","dc"
0.01132,500.00000,"random","hvg","bt"
0.40420,500.00000,"random","nvg","basic"
0.02022,500.00000,"random","nvg","dc"
0.06276,500.00000,"random","nvg","bt"
0.23734,500.00000,"random","hvg","basic"
0.01807,500.00000,"random","hvg","dc"
0.01086,500.00000,"random","hvg","bt"
0.39286,500.00000,"random","nvg","basic"
0.02609,500.00000,"random","nvg","dc"
0.07020,500.00000,"random","nvg","bt"
0.23318,500.00000,"random","hvg","basic"
0.01880,500.00000,"random","hvg","dc"
0.01087,500.00000,"random","hvg","bt"
0.40093,500.00000,"random","nvg","basic"
0.02114,500.00000,"random","nvg","dc"
0.06509,500.00000,"random","nvg","bt"
0.23491,500.00000,"random","hvg","basic"
0.02013,500.00000,"random","hvg","dc"
0.01129,500.00000,"random","hvg","bt"
0.39334,500.00000,"random","nvg","basic"
0.02232,500.00000,"random","nvg","dc"
0.06849,500.00000,"random","nvg","bt"
0.22569,500.00000,"random","hvg","basic"
0.02007,500.00000,"random","hvg","dc"
0.01146,500.00000,"random","hvg","bt"
0.38859,500.00000,"random","nvg","basic"
0.02099,500.00000,"random","nvg","dc"
0.06040,500.00000,"random","nvg","bt"
0.22442,500.00000,"random","hvg","basic"
0.01715,500.00000,"random","hvg","dc"
0.00979,500.00000,"random","hvg","bt"
0.38514,500.00000,"random","nvg","basic"
0.02863,500.00000,"random","nvg","dc"
0.07826,500.00000,"random","nvg","bt"
0.22738,500.00000,"random","hvg","basic"
0.02188,500.00000,"random","hvg","dc"
0.01165,500.00000,"random","hvg","bt"
0.39388,500.00000,"random","nvg","basic"
0.02491,500.00000,"random","nvg","dc"
0.06630,500.00000,"random","nvg","bt"
0.23682,500.00000,"random","hvg","basic"
0.01882,500.00000,"random","hvg","dc"
0.01095,500.00000,"random","hvg","bt"
0.39641,500.00000,"random","nvg","basic"
0.02128,500.00000,"random","nvg","dc"
0.06347,500.00000,"random","nvg","bt"
0.22367,500.00000,"random","hvg","basic"
0.01799,500.00000,"random","hvg","dc"
0.01078,500.00000,"random","hvg","bt"
0.67737,500.00000,"conway","nvg","basic"
0.07043,500.00000,"conway","nvg","dc"
0.22782,500.00000,"conway","nvg","bt"
0.13899,500.00000,"conway","hvg","basic"
0.03875,500.00000,"conway","hvg","dc"
0.02324,500.00000,"conway","hvg","bt"
4.34865,1000.00000,"walk","nvg","basic"
1.46966,1000.00000,"walk","nvg","dc"
2.31373,1000.00000,"walk","nvg","bt"
1.37704,1000.00000,"walk","hvg","basic"
0.21912,1000.00000,"walk","hvg","dc"
0.07590,1000.00000,"walk","hvg","bt"
3.68384,1000.00000,"walk","nvg","basic"
2.20367,1000.00000,"walk","nvg","dc"
4.21046,1000.00000,"walk","nvg","bt"
1.13771,1000.00000,"walk","hvg","basic"
0.48171,1000.00000,"walk","hvg","dc"
0.13586,1000.00000,"walk","hvg","bt"
3.91973,1000.00000,"walk","nvg","basic"
0.35901,1000.00000,"walk","nvg","dc"
0.99603,1000.00000,"walk","nvg","bt"
1.63788,1000.00000,"walk","hvg","basic"
0.17367,1000.00000,"walk","hvg","dc"
0.05466,1000.00000,"walk","hvg","bt"
2.54123,1000.00000,"walk","nvg","basic"
0.53930,1000.00000,"walk","nvg","dc"
1.48587,1000.00000,"walk","nvg","bt"
1.08075,1000.00000,"walk","hvg","basic"
0.17456,1000.00000,"walk","hvg","dc"
0.06364,1000.00000,"walk","hvg","bt"
3.87818,1000.00000,"walk","nvg","basic"
0.33153,1000.00000,"walk","nvg","dc"
